File;Size(bytes);mean (ms);mean (ms)
java14srcs/Locale.java;47529;28.80;-
java14srcs/ResourceBundle.java;48389;105.20;-
java14srcs/Thread.java;48787;34.80;-
java14srcs/PageAttributes.java;49135;27.20;0.10
java14srcs/GridBagLayout.java;49930;921.40;-
java14srcs/StringBuffer.java;50601;23.40;-
java14srcs/Date.java;50978;4.40;0.00
java14srcs/Graphics2D.java;54423;22.60;-
java14srcs/Graphics.java;57030;19.60;-
java14srcs/CharacterData.java;59895;51.80;-
java14srcs/TreeMap.java;60459;156.60;-
java14srcs/ClassLoader.java;64562;79.00;-
java14srcs/FloatingDecimal.java;64748;124.60;-
java14srcs/Calendar.java;67186;35.20;0.00
java14srcs/SecurityManager.java;69150;186.20;-
java14srcs/SimpleTimeZone.java;72673;17.40;-
java14srcs/Character.java;74738;16.00;19.40
java14srcs/Window.java;77126;37.80;3.00
java14srcs/Font.java;78701;7.40;-
java14srcs/Arrays.java;86853;28.40;0.00
java14srcs/Class.java;89030;31.20;0.00
java14srcs/String.java;90497;33.40;0.00
java14srcs/Toolkit.java;90749;31.60;0.00
java14srcs/Collections.java;92018;75.40;-
java14srcs/GregorianCalendar.java;93973;27.20;0.00
java14srcs/KeyboardFocusManager.java;113928;30.20;0.00
java14srcs/Container.java;127056;19.60;0.00
java14srcs/Component.java;273269;16.40;-
java14srcs/CombinedClass1.java;464070;421.20;-
